case_id,arch,anchored,pose,noise,weighted,nms_radius,n_peaks,rank
dram_unanchored_pose-small_0114,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0115,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0116,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0117,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0118,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0119,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,False,2,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,False,4,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,False,8,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,False,16,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,True,2,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,True,4,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,True,8,30,-1
dram_unanchored_pose-small_0120,dram,unanchored,small,medium,True,16,30,-1
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,False,2,30,30
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,False,4,30,30
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,False,8,30,30
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,False,16,30,30
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,True,2,30,25
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,True,4,30,25
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,True,8,30,25
dram_unanchored_pose-small_0121,dram,unanchored,small,medium,True,16,30,25
