case_id,arch,anchored,pose,noise,stage,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms
finfet_anchored_pose-small_0063,finfet,anchored,small,none,selected,311.4869294700923,577.3470589684241,311.5,578.5,1.1530151174392078,0,274.92337599687744
finfet_anchored_pose-small_0064,finfet,anchored,small,none,ncc,189.61417852957393,96.61267411983856,189.5,96.5,0.16041257399923364,1,56.46616700687446
finfet_anchored_pose-small_0064,finfet,anchored,small,none,weighted,189.61417852957393,96.61267411983856,188.5,98.5,2.191664384364242,0,272.5186670140829
finfet_anchored_pose-small_0064,finfet,anchored,small,none,selected,189.61417852957393,96.61267411983856,188.5,98.5,2.191664384364242,0,277.3409590154188
finfet_anchored_pose-small_0065,finfet,anchored,small,none,ncc,109.44572991853809,608.2035260643584,107.5,609.5,2.3380995662487045,0,55.65541599935386
finfet_anchored_pose-small_0065,finfet,anchored,small,none,weighted,109.44572991853809,608.2035260643584,108.5,609.5,1.604758469245823,0,272.77637500083074
finfet_anchored_pose-small_0065,finfet,anchored,small,none,selected,109.44572991853809,608.2035260643584,108.5,609.5,1.604758469245823,0,277.6006670028437
finfet_anchored_pose-small_0066,finfet,anchored,small,none,ncc,275.4816337830416,635.2463063172954,275.5,634.5,0.7465322746944137,1,56.039624992990866
finfet_anchored_pose-small_0066,finfet,anchored,small,none,weighted,275.4816337830416,635.2463063172954,275.5,634.5,0.7465322746944137,1,269.7645830048714
finfet_anchored_pose-small_0066,finfet,anchored,small,none,selected,275.4816337830416,635.2463063172954,275.5,634.5,0.7465322746944137,1,274.5718750084052
finfet_anchored_pose-small_0067,finfet,anchored,small,none,ncc,841.6858230833438,872.1401009233831,841.5,872.5,0.40504020004576174,1,55.732749999151565
finfet_anchored_pose-small_0067,finfet,anchored,small,none,weighted,841.6858230833438,872.1401009233831,841.5,872.5,0.40504020004576174,1,272.3912080109585
finfet_anchored_pose-small_0067,finfet,anchored,small,none,selected,841.6858230833438,872.1401009233831,841.5,872.5,0.40504020004576174,1,277.207625011215
finfet_anchored_pose-small_0068,finfet,anchored,small,none,ncc,889.9008326186091,895.8472050721967,890.5,894.5,1.4744365220230549,0,56.43999998574145
finfet_anchored_pose-small_0068,finfet,anchored,small,none,weighted,889.9008326186091,895.8472050721967,890.5,893.5,2.4224725389297874,0,272.3025410086848
finfet_anchored_pose-small_0068,finfet,anchored,small,none,selected,889.9008326186091,895.8472050721967,890.5,893.5,2.4224725389297874,0,277.1692910173442
finfet_anchored_pose-small_0069,finfet,anchored,small,none,ncc,744.0090028796193,609.3335168124173,743.5,608.5,0.9766443610870076,1,56.04016700817738
finfet_anchored_pose-small_0069,finfet,anchored,small,none,weighted,744.0090028796193,609.3335168124173,743.5,608.5,0.9766443610870076,1,293.65075001260266
finfet_anchored_pose-small_0069,finfet,anchored,small,none,selected,744.0090028796193,609.3335168124173,743.5,608.5,0.9766443610870076,1,298.48841701459605
finfet_anchored_pose-small_0070,finfet,anchored,small,none,ncc,315.4283729921525,605.3700201864144,315.5,604.5,0.8729636607681736,1,56.385457995929755
finfet_anchored_pose-small_0070,finfet,anchored,small,none,weighted,315.4283729921525,605.3700201864144,315.5,604.5,0.8729636607681736,1,272.222542000236
finfet_anchored_pose-small_0070,finfet,anchored,small,none,selected,315.4283729921525,605.3700201864144,315.5,604.5,0.8729636607681736,1,277.0543749938952
finfet_anchored_pose-small_0071,finfet,anchored,small,none,ncc,642.63540379078,200.48637067651526,642.5,198.5,1.990980324131127,0,55.60441700799856
finfet_anchored_pose-small_0071,finfet,anchored,small,none,weighted,642.63540379078,200.48637067651526,641.5,198.5,2.287970767435017,0,270.58704099908937
finfet_anchored_pose-small_0071,finfet,anchored,small,none,selected,642.63540379078,200.48637067651526,641.5,198.5,2.287970767435017,0,275.4106659995159
finfet_anchored_pose-large_0072,finfet,anchored,large,none,ncc,611.4570519235917,332.59931164337826,607.5,330.5,4.4794385029850075,0,55.63491699285805
finfet_anchored_pose-large_0072,finfet,anchored,large,none,weighted,611.4570519235917,332.59931164337826,607.5,330.5,4.4794385029850075,0,271.01508299529087
finfet_anchored_pose-large_0072,finfet,anchored,large,none,selected,611.4570519235917,332.59931164337826,607.5,330.5,4.4794385029850075,0,275.80800000578165
finfet_anchored_pose-large_0073,finfet,anchored,large,none,ncc,474.0562323511227,870.1830398166439,477.5,866.5,5.042253257268887,0,55.48470800567884
finfet_anchored_pose-large_0073,finfet,anchored,large,none,weighted,474.0562323511227,870.1830398166439,477.5,867.5,4.365574220781364,0,272.1515419980278
finfet_anchored_pose-large_0073,finfet,anchored,large,none,selected,474.0562323511227,870.1830398166439,477.5,867.5,4.365574220781364,0,276.958749993355
